Name,Latitude,Longitude,Google_Maps_Link,Link_Type,City,Area,Category,Vehicle_Tag,Ownership,Access,Description
Statiq Charging Station (DLF Mall of India),28.569976,77.32207,https://www.google.com/maps/place/?q=place_id:ChIJyUNwtEjkDDkR-GwFfKnyoto,exact place,Noida,Sector 18,AC+DC Charging,4W,Private Network,Public (basement MLCP),Operator: Statiq | Confidence: High | Notes: Well managed; wifi unavailable in basement per review
Statiq Charging Station (Raipur Khadar),28.542233,77.340675,https://www.google.com/maps/place/?q=place_id:ChIJ2wqujnjmDDkR1z6x8qon32M,exact place,Noida,Sector 126,AC+DC Charging (6am-8pm),4W,Private Network (corporate campus),Restricted (night access denied per review),Operator: Statiq | Confidence: High | Notes: Review: property owner denies night entry
Reliable Charge EV Charging Station (Gardenia Glory),28.5497603,77.3609868,https://www.google.com/maps/place/?q=place_id:ChIJf6lSXuHlDDkR0hvUQKLTl5A,exact place,Noida,Sector 46,DC Fast Charging,4W,Private Network,Public,Operator: Reliable Charge | Confidence: Medium | Notes: 
Tata Power Charging Station (Express Trade Towers),28.5136361,77.3778072,https://www.google.com/maps/place/?q=place_id:ChIJyYbEjSfmDDkRrrU_W1p7bBY,exact place,Noida,Sector 132,DC Fast Charging (60kW x2 + 25kW),4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Statiq Charging Station (Advant IT Park),28.500687,77.4102214,https://www.google.com/maps/place/?q=place_id:ChIJU7DHeU_pDDkRSNCZ_TXxmsw,exact place,Noida,Sector 142,DC Fast Charging,4W,Private Network,"Public (mall basement, contested)","Operator: Statiq | Confidence: High | Notes: Review: cabbies occupy chargers, no parking fee incentivizes long occupancy; no internet in basement"
Statiq EV Charging Station,28.5473853,77.4447439,https://www.google.com/maps/place/?q=place_id:ChIJPQBrFQDpDDkR2IEF5pbQ9F0,exact place,Noida,Greater Noida (Jalpura),AC+DC Charging (CCS2/GB-T + Ola/Ather fast),2W+4W,Private Network,Public,Operator: Statiq | Confidence: High | Notes: Review confirms CCS2 DC fast + GB/T + Ola and Ather fast charging on site
Tata Power Charging Station,28.503747,77.378037,https://www.google.com/maps/place/?q=place_id:ChIJ_4CYRgDnDDkR34ejtQWV2Z4,exact place,Noida,Sector 133,AC+DC Charging,4W,Semi-Public (Utility Network),Public,"Operator: Tata Power | Confidence: High | Notes: Reported not working, recurring issue per review"
Reliable Charging Station,28.5002531,77.3918875,https://www.google.com/maps/place/?q=place_id:ChIJF5dbQgDpDDkR64s9x3y-cQc,exact place,Noida,Sector 135,DC Fast Charging,4W (cab-heavy),Private Network,Public (contested),"Operator: Reliable Charge | Confidence: Medium | Notes: EV taxi drivers occupy site, block private vehicle access"
BMW Destination Charging Station,28.5005726,77.4097328,https://www.google.com/maps/place/?q=place_id:ChIJT9eir1noDDkReX3PabhnCsg,exact place,Noida,Sector 142 (Greater Noida),AC+DC Charging,4W only,OEM-Captive,Semi-Public,Operator: BMW (OEM) | Confidence: High | Notes: 
Reliable Charge Charging Station,28.5760011,77.375905,https://www.google.com/maps/place/?q=place_id:ChIJt85Sm4nlDDkRrHmlp_GUZfQ,exact place,Noida,Sector 50,AC+DC Charging,Unconfirmed,Private Network,Public (reported unavailable),Operator: Reliable Charge | Confidence: Low | Notes: Review: not available
Sonik Mobility Charging Station,28.5783531,77.3764984,https://www.google.com/maps/place/?q=place_id:ChIJV0wSIgDlDDkRcrqUNxOrKCI,exact place,Noida,Sector 50,AC Charging,Unconfirmed,Private (Residential society),"RESTRICTED -- review confirms this is a society charging station, not public",Operator: Sonik Mobility | Confidence: High | Notes: Review explicitly: 'this is a society charging station'
Bolt.Earth Charging Station (Fatehpur),28.5781923,77.3744673,https://www.google.com/maps/place/?q=place_id:ChIJ54r40g7vDDkRYGe6AblrGqM,exact place,Noida,Sector 50,AC Charging (2W),2W,Private 2W Network,NOT AVAILABLE -- review confirms no station at location,Operator: Bolt.Earth | Confidence: High | Notes: Review: 'there's no station at the location' -- exclude from capacity count
Ather Grid Charging Station (Oyo Soho),28.58066,77.37497,https://www.google.com/maps/place/?q=place_id:ChIJffNrvq3lDDkRbSWeqgrKZVs,exact place,Noida,Sector 51,AC Charging (2W),2W,OEM Network (Ather),Public,Operator: Ather Grid | Confidence: High | Notes: 
EVRE Charging Station (Supertech Capetown),28.574585,77.391613,https://www.google.com/maps/place/?q=place_id:ChIJowkG8mjvDDkRWfsgm-dGrJg,exact place,Noida,Sector 74,AC Charging,4W,Private (Residential society),"Public (society, limited hours)",Operator: EVRE | Confidence: Medium | Notes: 
Ather Grid Charging Station (Hoshiyarpur),28.584883,77.36917,https://www.google.com/maps/place/?q=place_id:ChIJ1-SmjYTlDDkRH3gbI_gJVtM,exact place,Noida,Sector 52,"AC Charging (2W, 2 units)",2W,OEM Network (Ather),Public (main road),"Operator: Ather Grid | Confidence: High | Notes: Review flags no roof cover, risky in rain"
BMW Destination Charging Station,28.5368268,77.3464989,https://www.google.com/maps/place/?q=place_id:ChIJ12yK3nDmDDkR0TmykYv57z4,exact place,Noida,Sector 127,AC+DC Charging,4W only,OEM-Captive,Semi-Public,Operator: BMW (OEM) | Confidence: High | Notes: 
ChargeZone Charging Station,28.558348,77.4026753,https://www.google.com/maps/place/?q=place_id:ChIJpwRjrBTvDDkRqt7v0yxHPZQ,exact place,Noida,Sector 80,DC Fast Charging,4W,Private Network,Public (closed Mondays),Operator: ChargeZone | Confidence: High | Notes: Review: not working
ChargeZone Charging Station (Metro),28.5162068,77.4089242,https://www.google.com/maps/place/?q=place_id:ChIJs44Xlf3pDDkR9P1B5MFBIt8,exact place,Noida,Sector 85,DC Fast Charging,4W,Private Network,Public (closed Mondays),Operator: ChargeZone | Confidence: High | Notes: 
Tata Power Charging Station (Industrial Area),28.621339,77.3612355,https://www.google.com/maps/place/?q=place_id:ChIJ11BqIETlDDkRjFp1eil9ZBE,exact place,Noida,Sector 62,DC Fast Charging (60kW),4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Tata Power Charging Station (Regus Tower),28.500532,77.41612,https://www.google.com/maps/place/?q=place_id:ChIJl18X5FboDDkR9SocEXIE8Gc,exact place,Noida,Sector 142,AC+DC Charging,4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Tata Power Charging Station,28.5345676,77.3968138,https://www.google.com/maps/place/?q=place_id:ChIJARYUlrnoDDkRetVkOGu-VHA,exact place,Noida,Noida SEZ Phase 2,AC+DC Charging,4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Statiq Charging Station (in front of reception),28.503206,77.414421,https://www.google.com/maps/place/?q=place_id:ChIJXVkqwlfoDDkRn0eJMJPBFYY,exact place,Noida,Sector 142,DC Fast Charging,4W,Private Network,Public,Operator: Statiq | Confidence: High | Notes: 
ElectricPe Charging Station,28.5613693,77.3847351,https://www.google.com/maps/place/?q=place_id:ChIJg1lyLlrvDDkR8h7wifK0Fdc,exact place,Noida,Sector 78,AC+DC Charging,Unconfirmed,Private Network,Public,Operator: ElectricPe | Confidence: Low | Notes: 
Evnergy Solutions Charging Station,28.567802,77.390849,https://www.google.com/maps/place/?q=place_id:ChIJ_9q_JkPvDDkRzKLrYcTiZug,exact place,Noida,Sector 77,AC+DC Charging,4W,Private Network,Public,Operator: Evnergy Solutions | Confidence: Medium | Notes: 
EESL Charging Station,28.5880382,77.3519619,https://www.google.com/maps/place/?q=place_id:ChIJ1WOCB_PlDDkRhnWsufG_R28,exact place,Noida,Sector 33 (RTO),DC Fast Charging,4W,Government (PSU),Public (nominally),"Operator: EESL (Govt of India) | Confidence: Medium | Notes: Multiple reviews: broken, cable stolen/cut, used as parking, non-functional -- exclude from usable capacity"
Electric Vehicle Charging Station (Sarfabad),28.5848951,77.3915701,https://www.google.com/maps/place/?q=place_id:ChIJYSDjkxHvDDkRJGgKmhWAwLk,exact place,Noida,Sector 73,AC+DC Charging,Unconfirmed,Private,Public,Operator: Unbranded/Generic | Confidence: Low | Notes: 
Electric Vehicle Charging Station (Desai Village),28.5945571,77.3847198,https://www.google.com/maps/place/?q=place_id:ChIJM42IKUvvDDkRMZmf5w7wTF8,exact place,Noida,Sector 70,AC+DC Charging,Unconfirmed,Private,Public,Operator: Unbranded/Generic | Confidence: Low | Notes: 
Bolt.Earth Charging Station (Elite Homes),28.5702637,77.3918821,https://www.google.com/maps/place/?q=place_id:ChIJsxz1623vDDkR8UUGPO0G7zo,exact place,Noida,Sector 77,AC Charging (2W),2W,Private (Residential society),Public (society),Operator: Bolt.Earth | Confidence: High | Notes: 
Bolt.Earth EV Charging Station (RG Residency),28.5867533,77.397246,https://www.google.com/maps/place/?q=place_id:ChIJbdNaiun7DDkRHX-zhx_VOPE,exact place,Noida,Sector 120,AC Charging (2W),2W,Private (Residential society),Public (society),Operator: Bolt.Earth | Confidence: High | Notes: 
Battery Smart Charging Station (Chhalera),28.5597245,77.3441429,https://www.google.com/maps/place/?q=place_id:ChIJV_sLJoflDDkR5SZgpmeYlUU,exact place,Noida,Sector 44,Battery Swap,2W+3W,Private Swap Network,Public,Operator: Battery Smart | Confidence: High | Notes: 
Battery Smart Charging Station (Bhangel),28.5360132,77.3861347,https://www.google.com/maps/place/?q=place_id:ChIJTS6IFkTpDDkR7vhHxsC7kyc,exact place,Noida,Sector 106,Battery Swap,2W+3W,Private Swap Network,Public,Operator: Battery Smart | Confidence: High | Notes: Reported poor service
Battery Smart Charging Station (Sadarpur),28.5499601,77.3534063,https://www.google.com/maps/place/?q=place_id:ChIJxTDxnjzlDDkRjcQr4v_53fU,exact place,Noida,Sector 45,Battery Swap,2W+3W,Private Swap Network,Public,Operator: Battery Smart | Confidence: High | Notes: 
Battery Smart Charging Station (Yakubpur Rd),28.5276691,77.4027973,https://www.google.com/maps/place/?q=place_id:ChIJIRxsn9HpDDkRn3gT-cSY7ZM,exact place,Noida,Sector 86,Battery Swap,2W+3W,Private Swap Network,Public,Operator: Battery Smart | Confidence: High | Notes: 
Terra Charge Smart Works Charging Station,28.5485625,77.3319375,https://www.google.com/maps/place/?q=place_id:ChIJ33q3dPXlDDkRKqkvNTDz3kE,exact place,Noida,Sector 125,AC+DC Charging (corporate campus),4W,Private Network,Public (24/7),Operator: Terra Charge | Confidence: Medium | Notes: 
Sonik Mobility Charging Station #2,28.5783531,77.3764984,https://www.google.com/maps/place/?q=place_id:ChIJV0wSIgDlDDkRcrqUNxOrKCI,exact place,Noida,Sector 50,AC Charging,Unconfirmed,Private (Residential society),RESTRICTED -- society station,"Operator: Sonik Mobility | Confidence: Medium | Notes: Duplicate area entry, kept distinct per source listing"
Sonik Mobility Charging Station (Paras Seasons),28.4951199,77.4070994,https://www.google.com/maps/place/?q=place_id:ChIJAzi7AgDpDDkRX6A3_UTjgQU,exact place,Noida,Sector 168,AC Charging,Unconfirmed,Private (Residential society),RESTRICTED -- society station,Operator: Sonik Mobility | Confidence: Medium | Notes: 
Jio-bp Pulse Charging Station #1,28.5012143,77.4117436,https://www.google.com/maps/place/?q=place_id:ChIJ74_kBd3pDDkRSf-i1bT4z10,exact place,Noida,Sector 142,AC+DC Charging,4W,PSU-JV (Oil Company),Public,Operator: Jio-BP Pulse | Confidence: Medium | Notes: 
Jio-bp Pulse Charging Station #2,28.52,77.38,https://www.google.com/maps/place/?q=place_id:ChIJI4MstRvnDDkRrtOlg8NlMFY,exact place,Noida,Sector 93A,AC+DC Charging,4W,PSU-JV (Oil Company),Public,Operator: Jio-BP Pulse | Confidence: Medium | Notes: 
Jio-bp Pulse Charging Station #3,28.5344522,77.3473774,https://www.google.com/maps/place/?q=place_id:ChIJmbkXZSnnDDkRtnbukm9GUfg,exact place,Noida,Sector 127,AC+DC Charging,4W,PSU-JV (Oil Company),Public,Operator: Jio-BP Pulse | Confidence: Medium | Notes: 
Jio-bp Pulse Charging Station #4,28.5,77.43,https://www.google.com/maps/place/?q=place_id:ChIJG-15d5XpDDkROF8BT4xBpIU,exact place,Noida,Sector 144,AC+DC Charging,4W,PSU-JV (Oil Company),Public,Operator: Jio-BP Pulse | Confidence: Low | Notes: 
Adani Charging Station #1,28.6061979,77.4296753,https://www.google.com/maps/place/?q=place_id:ChIJIQSoLFLuDDkRj-r9eaVvsTI,exact place,Noida,Greater Noida W (Gaur City 1),DC Fast Charging (60kW),4W,Private Network (Adani),Public (mall MLCP),Operator: Adani | Confidence: High | Notes: Well reviewed; flags Jio SIM network issues at this location
Adani Charging Station #2,28.6149663,77.4278185,https://www.google.com/maps/place/?q=place_id:ChIJJfvjhUvuDDkRtoWf8Q-srEI,exact place,Noida,Greater Noida W (Gaur City 1),DC Fast Charging,4W,Private Network (Adani),Public (mall MLCP),Operator: Adani | Confidence: High | Notes: 
HPCL Charging Station,28.5602909,77.4811666,https://www.google.com/maps/place/?q=place_id:ChIJOdRpJAbsDDkR2UJig4gdeZE,exact place,Noida,Greater Noida (Saini),AC+DC Charging (fuel station),4W,PSU (Oil Company),Public,Operator: HPCL | Confidence: Medium | Notes: Poor customer service reported; long CNG queue
EVRE Charging Station (Supertech),28.610419,77.443154,https://www.google.com/maps/place/?q=place_id:ChIJt8nkNEPuDDkRJ91qS4Z2Mf4,exact place,Noida,Greater Noida (Eco Village 2),AC Charging,4W,Private (Residential society),"Public (society, reported closed)",Operator: EVRE | Confidence: Medium | Notes: Reported closed
Sonik Mobility Charging Station (Saviour GreenArch),28.6005436,77.4489952,https://www.google.com/maps/place/?q=place_id:ChIJEUrBDqfvDDkRW-khioQzB_0,exact place,Noida,Greater Noida (Tech Zone IV),AC Charging,Unconfirmed,Private (Residential society),RESTRICTED -- society station,Operator: Sonik Mobility | Confidence: Medium | Notes: 
Terra Charge Charging Station,28.5875512,77.4429119,https://www.google.com/maps/place/?q=place_id:ChIJWWVODTjvDDkRr5EOu-paIj8,exact place,Noida,Greater Noida (Tech Zone IV),AC+DC Charging,4W,Private Network,Public,Operator: Terra Charge | Confidence: Medium | Notes: 
Evnergy Solutions Charging Station,28.620161,77.419418,https://www.google.com/maps/place/?q=place_id:ChIJfca3D8rvDDkRN23luo3qzMs,exact place,Noida,Greater Noida (Gaur City 2),AC+DC Charging,4W,Private Network,Public,Operator: Evnergy Solutions | Confidence: Medium | Notes: 
Tata Power Charging Station (Ecotech 12),28.5964426,77.4596244,https://www.google.com/maps/place/?q=place_id:ChIJWxWEHobuDDkR9Fyz_R-M_UI,exact place,Noida,Greater Noida W,AC+DC Charging (at Tata dealership),4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Ather Grid Charging Station (Chhalera) #1,28.55611,77.3439,https://www.google.com/maps/place/?q=place_id:ChIJkZUG9s_lDDkRmVmJupFGxLk,exact place,Noida,Sector 44,"AC Charging (2W, 3kW+6kW)",2W,OEM Network (Ather),Public,"Operator: Ather Grid | Confidence: High | Notes: Mixed reviews: some praise, one reports very hard to locate in narrow lanes"
Ather Grid Charging Station (Chhalera) #2,28.556878,77.343002,https://www.google.com/maps/place/?q=place_id:ChIJz5QOkc_lDDkRtzWNLXUs5vA,exact place,Noida,Sector 44,AC Charging (2W),2W,OEM Network (Ather),Public,Operator: Ather Grid | Confidence: High | Notes: 
Ather Grid Charging Station (Aghapur),28.56418,77.36058,https://www.google.com/maps/place/?q=place_id:ChIJhSV6juvlDDkRGoPenC3lUcI,exact place,Noida,Sector 41,AC Charging (2W),2W,OEM Network (Ather),Public,Operator: Ather Grid | Confidence: High | Notes: 
Ather Grid Charging Station (Logix Blossom County),28.509184,77.416565,https://www.google.com/maps/place/?q=place_id:ChIJ6a58bvnoDDkRLHMMC7ebcfc,exact place,Noida,Sector 141,AC Charging (2W),2W,OEM Network (Ather),Public (reported removed from app),Operator: Ather Grid | Confidence: High | Notes: Review: removed from Ather Grid app -- verify still active
Ather Grid Charging Station (Pan Oasis),28.58925,77.38335,https://www.google.com/maps/place/?q=place_id:ChIJvyQIxn7vDDkRdTBP3aUiyqg,exact place,Noida,Sector 73 (Vedh Colony),"AC Charging (2W, 3kW+6kW)",2W,OEM Network (Ather),Public,"Operator: Ather Grid | Confidence: High | Notes: Highly reviewed, seating available, reliable"
Tata Power Charging Station #2,28.503747,77.378037,https://www.google.com/maps/place/?q=place_id:ChIJ_4CYRgDnDDkR34ejtQWV2Z4,exact place,Noida,Sector 133,AC+DC Charging,4W,Semi-Public (Utility Network),Public,"Operator: Tata Power | Confidence: High | Notes: Duplicate-area listing, kept distinct per source"
Tata Power Charging Station (Sagar Motors),28.515905,77.416972,https://www.google.com/maps/place/?q=place_id:ChIJ7aIYNfvoDDkRVLnwDQfLKMU,exact place,Noida,Sector 138,AC+DC Charging (at Tata dealership),4W,Semi-Public (Utility Network),Public (24/7),Operator: Tata Power | Confidence: High | Notes: 
Tata Power Charging Station (Ginger Hotel),28.6257406,77.3753188,https://www.google.com/maps/place/?q=place_id:ChIJwyGdy1nlDDkRpGR6vrz52Z0,exact place,Noida,Sector 63,AC+DC Charging,4W (cab-heavy),Semi-Public (Utility Network),Public (contested),Operator: Tata Power | Confidence: Medium | Notes: Review: taxi bookings monopolize space
EV Charging Hub by Chargze,28.6112012,77.4007466,https://www.google.com/maps/place/?q=place_id:ChIJD2MzMcXvDDkRkkST_qgh9zw,exact place,Noida,Sector 63,AC+DC Charging,Unconfirmed,Private Network,Public,Operator: Chargze | Confidence: Low | Notes: 
BMW Charging Station,28.6311898,77.38024,https://www.google.com/maps/place/?q=place_id:ChIJxZUt7PjvDDkREr0hGz8C3RE,exact place,Noida,Sector 63,AC+DC Charging,4W only,OEM-Captive,Semi-Public,Operator: BMW (OEM) | Confidence: High | Notes: 
Kazam Charging Station #1,28.606485,77.4005599,https://www.google.com/maps/place/?q=place_id:ChIJH5J295fvDDkROXWmls522cQ,exact place,Noida,Sector 121,AC+DC Charging (large lot),4W,Private Network,Public,"Operator: Kazam | Confidence: Medium | Notes: Well reviewed, spacious parking"
Kazam Charging Station #2,28.6062607,77.4005218,https://www.google.com/maps/place/?q=place_id:ChIJb99mHZjvDDkRIEU4tQEUrls,exact place,Noida,Sector 121,AC+DC Charging,Unconfirmed,Private Network,Public,Operator: Kazam | Confidence: Low | Notes: Review references unrelated water plant -- verify listing accuracy
Jio-bp Pulse Charging Station #5,28.599508,77.399383,https://www.google.com/maps/place/?q=place_id:ChIJ3fYT5bXvDDkRS7bTLoTi40E,exact place,Noida,Sector 121,AC+DC Charging (rated 60kW),4W,PSU-JV (Oil Company),Public,"Operator: Jio-BP Pulse | Confidence: Medium | Notes: Review: rated 60kW delivers only 14kW; coupon payments blocked, app-only"
Reliable Charge Charging Station (Parx Laureate),28.5255909,77.3733254,https://www.google.com/maps/place/?q=place_id:ChIJRVPCMx_mDDkRkDkEtBfMFzY,exact place,Noida,Sector 108,AC+DC Charging,4W,Private (Residential society),Public (society),Operator: Reliable Charge | Confidence: Medium | Notes: 
Electric Vehicle Charging Station (Lotus Panache),28.5329909,77.3849519,https://www.google.com/maps/place/?q=place_id:ChIJdY3pMqToDDkR2yfMo55JfUc,exact place,Noida,Sector 110,AC Charging,4W,Private (Residential society),Public (society),Operator: Unbranded/Generic | Confidence: Low | Notes: 
EESL Charging Station (Windsor IT Park),28.5447558,77.3272418,https://www.google.com/maps/place/?q=place_id:ChIJLSpEWaDlDDkRSsxELGXH1P8,exact place,Noida,Sector 126,DC Fast Charging,4W,Government (PSU),Public (nominally),"Operator: EESL (Govt of India) | Confidence: Medium | Notes: Multiple reviews spanning 2+ years: chargers non-functional, only 1 of 2 ever worked"
Statiq Charging Station,28.544977,77.327876,https://www.google.com/maps/place/?q=place_id:ChIJayo4yyvkDDkRjCjkYCyK4R8,exact place,Noida,Sector 125 (Windsor IT Park),DC Fast Charging,4W,Private Network,Public,Operator: Statiq | Confidence: High | Notes: 
BMW Destination Charging Station,28.5396593,77.3439139,https://www.google.com/maps/place/?q=place_id:ChIJt1ULgnfmDDkRdw5ky93Yc5E,exact place,Noida,Sector 126,AC+DC Charging,4W only,OEM-Captive,Semi-Public,Operator: BMW (OEM) | Confidence: High | Notes: 
Reliable Charge EV Charging Station (Omaxe NRI City),28.4616124,77.5146775,https://www.google.com/maps/place/?q=place_id:ChIJFXbYdxPBDDkR9WHpOOyEMQc,exact place,Noida,Pari Chowk,DC Fast Charging,4W,Private Network,Public,Operator: Reliable Charge | Confidence: High | Notes: 
"Statiq Charging Station (Ascot, Savoy Hotel)",28.4649045,77.5084728,https://www.google.com/maps/place/?q=place_id:ChIJ628Ux3LBDDkRQRqmafF32Vs,exact place,Noida,Pari Chowk,DC Fast Charging (CCS x2),4W,Private Network,Public,"Operator: Statiq | Confidence: High | Notes: Well reviewed, main gate location"
Tata Power Charging Station,28.4579279,77.5230703,https://www.google.com/maps/place/?q=place_id:ChIJrdPbFy7ADDkRMRjfqQnOTUw,exact place,Noida,Greater Noida (Swarn Nagri),AC+DC Charging,4W,Semi-Public (Utility Network),Public,"Operator: Tata Power | Confidence: High | Notes: Review: operational but ~70% efficiency, slow"
HPCL Charging Station #2,28.4936034,77.5365167,https://www.google.com/maps/place/?q=place_id:ChIJ8_TW2-rqDDkR2eUOnKemLx0,exact place,Noida,Greater Noida (Rasoolpur Rai),AC+DC Charging (fuel station),4W,PSU (Oil Company),Public,Operator: HPCL | Confidence: Medium | Notes: Mixed reviews on staff service; charger itself functions well
Statiq Charging Station,28.491336,77.489212,https://www.google.com/maps/place/?q=place_id:ChIJCyd-9j7qDDkRZluoonw_3sI,exact place,Noida,Greater Noida (Knowledge Park III),AC+DC Charging,4W,Private Network,Public,Operator: Statiq | Confidence: High | Notes: 
Reliable Charge Charging Station (Omega II),28.4606067,77.5108129,https://www.google.com/maps/place/?q=place_id:ChIJ_VZB5NPBDDkR2Z2EueFJATs,exact place,Noida,Greater Noida (NRI City),AC+DC Charging,4W,Private (Residential society),Public (society),Operator: Reliable Charge | Confidence: Medium | Notes: 
E-Fill Charging Station,28.4693763,77.5184977,https://www.google.com/maps/place/?q=place_id:ChIJBwBANoDqDDkRCYSUZjkCWOg,exact place,Noida,Greater Noida (Jaypee Greens),DC Fast Charging,4W,Private (Residential society),Public (society),Operator: E-Fill | Confidence: Medium | Notes: 
Tata Power Charging Station (India Expo Mart),28.4617808,77.5024701,https://www.google.com/maps/place/?q=place_id:ChIJi56fkNnBDDkRGwE-DPLdJUE,exact place,Noida,Greater Noida (Knowledge Park II),AC+DC Charging,4W,Semi-Public (Utility Network),Public,Operator: Tata Power | Confidence: High | Notes: 
Electric Vehicle Charging Station,28.4668707,77.5093491,https://www.google.com/maps/place/?q=place_id:ChIJSYpDEQDBDDkRav9fpRGy0tw,exact place,Noida,Greater Noida (Knowledge Park I),"AC Charging (9am-6pm, closed Sun)",Unconfirmed,Private,"RESTRICTED -- review confirms guard denied entry, told to go elsewhere","Operator: Unbranded/Generic | Confidence: High | Notes: Review: 'guard did not open the gate, said go somewhere else'"
Statiq Charging Station (Prateek Edifice),28.5458714,77.3753934,https://www.google.com/maps/place/?q=place_id:ChIJ4RffDWfnDDkRPmHo4Sx8haE,"exact place (building-level, not charger-precise)",Noida,Sector 107,AC+DC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)","Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page, not independently indexed as an EV POI on Maps -- coordinates are the society's, not the exact charger bay"
